index,name,generation,evolves_from,abilities,desc,type1,type2,total,hp,atk,def,spatk,spdef,speed,height,weight,rank
264,linoone,generation-iii,zigzagoon,pickup gluttony quick-feet ,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads.",normal,None,420,78,70,61,50,61,100,5,325,ordinary
265,wurmple,generation-iii,nothing,shield-dust run-away ,"Using the spikes on its rear end,  WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping.",bug,None,195,45,45,35,20,30,20,3,36,ordinary
266,silcoon,generation-iii,wurmple,shed-skin ,"SILCOON tethers itself to a tree branch using silk to keep from falling. There, this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",bug,None,205,50,35,55,25,25,15,6,100,ordinary
267,beautifly,generation-iii,silcoon,swarm rivalry ,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen.",bug,flying,395,60,70,50,100,50,65,10,284,ordinary
268,cascoon,generation-iii,wurmple,shed-skin ,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon.",bug,None,205,50,35,55,25,25,15,7,115,ordinary
269,dustox,generation-iii,cascoon,shield-dust compound-eyes ,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",bug,poison,385,60,50,70,50,90,65,12,316,ordinary
270,lotad,generation-iii,nothing,swift-swim rain-dish own-tempo ,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",water,grass,220,40,30,30,40,50,30,5,26,ordinary
271,lombre,generation-iii,lotad,swift-swim rain-dish own-tempo ,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.,water,grass,340,60,50,50,60,70,50,12,325,ordinary
272,ludicolo,generation-iii,lombre,swift-swim rain-dish own-tempo ,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings.",water,grass,480,80,70,70,90,100,70,15,550,ordinary
273,seedot,generation-iii,nothing,chlorophyll early-bird pickpocket ,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes.",grass,None,220,40,40,50,30,30,30,5,40,ordinary
274,nuzleaf,generation-iii,seedot,chlorophyll early-bird pickpocket ,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.,grass,dark,340,70,70,40,60,40,60,10,280,ordinary
275,shiftry,generation-iii,nuzleaf,chlorophyll early-bird pickpocket ,It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.,grass,dark,480,90,100,60,90,60,80,13,596,ordinary
276,taillow,generation-iii,nothing,guts scrappy ,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",normal,flying,270,40,55,30,30,30,85,3,23,ordinary
277,swellow,generation-iii,taillow,guts scrappy ,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape.",normal,flying,455,60,85,60,75,50,125,7,198,ordinary
278,wingull,generation-iii,nothing,keen-eye hydration rain-dish ,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.,water,flying,270,40,30,30,55,30,85,6,95,ordinary
279,pelipper,generation-iii,wingull,keen-eye drizzle rain-dish ,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",water,flying,440,60,50,100,95,70,65,12,280,ordinary
280,ralts,generation-iii,nothing,synchronize trace telepathy ,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition.",psychic,fairy,198,28,25,25,45,35,40,4,66,ordinary
281,kirlia,generation-iii,ralts,synchronize trace telepathy ,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.,psychic,fairy,278,38,35,35,65,55,50,8,202,ordinary
282,gardevoir,generation-iii,kirlia,synchronize trace telepathy ,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power.",psychic,fairy,518,68,65,65,125,115,80,16,484,ordinary
283,surskit,generation-iii,nothing,swift-swim rain-dish ,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes.",bug,water,269,40,30,32,50,52,65,5,17,ordinary
284,masquerain,generation-iii,surskit,intimidate unnerve ,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.,bug,flying,454,70,60,62,100,82,80,8,36,ordinary
285,shroomish,generation-iii,nothing,effect-spore poison-heal quick-feet ,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves.",grass,None,295,60,40,60,40,60,35,4,45,ordinary
286,breloom,generation-iii,shroomish,effect-spore poison-heal technician ,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame.",grass,fighting,460,60,130,80,60,60,70,12,392,ordinary
287,slakoth,generation-iii,nothing,truant ,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves.",normal,None,280,60,60,60,35,35,30,8,240,ordinary
288,vigoroth,generation-iii,slakoth,vital-spirit ,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.,normal,None,440,80,80,80,55,55,90,14,465,ordinary
289,slaking,generation-iii,vigoroth,truant ,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot.",normal,None,670,150,160,100,95,65,100,20,1305,ordinary
290,nincada,generation-iii,nothing,compound-eyes run-away ,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.,bug,ground,266,31,45,90,30,30,40,5,55,ordinary
291,ninjask,generation-iii,nincada,speed-boost infiltrator ,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible.",bug,flying,456,61,90,45,50,50,160,8,120,ordinary
292,shedinja,generation-iii,nincada,wonder-guard ,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back.",bug,ghost,236,1,90,45,30,30,40,8,12,ordinary
293,whismur,generation-iii,nothing,soundproof rattled ,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume.",normal,None,240,64,51,23,51,23,28,6,163,ordinary
294,loudred,generation-iii,whismur,soundproof scrappy ,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.,normal,None,360,84,71,43,71,43,48,10,405,ordinary
295,exploud,generation-iii,loudred,soundproof scrappy ,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow.",normal,None,490,104,91,63,91,73,68,15,840,ordinary
296,makuhita,generation-iii,nothing,thick-fat guts sheer-force ,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving.",fighting,None,237,72,60,30,20,30,25,10,864,ordinary
297,hariyama,generation-iii,makuhita,thick-fat guts sheer-force ,It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.,fighting,None,474,144,120,60,40,60,50,23,2538,ordinary
298,azurill,generation-iii,nothing,thick-fat huge-power sap-sipper ,A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.,normal,fairy,190,50,20,40,20,40,20,2,20,ordinary
299,nosepass,generation-iii,nothing,sturdy magnet-pull sand-force ,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another.",rock,None,375,30,45,135,45,90,30,10,970,ordinary
300,skitty,generation-iii,nothing,cute-charm normalize wonder-skin ,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.,normal,None,260,50,45,45,35,35,50,6,110,ordinary
301,delcatty,generation-iii,skitty,cute-charm normalize wonder-skin ,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random.",normal,None,400,70,65,65,55,55,90,11,326,ordinary
302,sableye,generation-iii,nothing,keen-eye stall prankster ,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness.",dark,ghost,380,50,75,75,65,65,50,5,110,ordinary
303,mawile,generation-iii,nothing,hyper-cutter intimidate sheer-force ,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws.",steel,fairy,380,50,85,85,55,55,50,6,115,ordinary
304,aron,generation-iii,nothing,sturdy rock-head heavy-metal ,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails.",steel,rock,330,50,70,100,40,40,30,4,600,ordinary
305,lairon,generation-iii,aron,sturdy rock-head heavy-metal ,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.,steel,rock,430,60,90,140,50,50,40,9,1200,ordinary
306,aggron,generation-iii,lairon,sturdy rock-head heavy-metal ,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.,steel,rock,530,70,110,180,60,60,50,21,3600,ordinary
307,meditite,generation-iii,nothing,pure-power telepathy ,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends.",fighting,psychic,280,30,40,55,40,55,60,6,112,ordinary
308,medicham,generation-iii,meditite,pure-power telepathy ,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains.",fighting,psychic,410,60,60,75,60,75,80,13,315,ordinary
309,electrike,generation-iii,nothing,static lightning-rod minus ,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.,electric,None,295,40,45,40,65,40,65,6,152,ordinary
310,manectric,generation-iii,electrike,static lightning-rod minus ,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds.",electric,None,475,70,75,60,105,60,105,15,402,ordinary
311,plusle,generation-iii,nothing,plus lightning-rod ,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy.",electric,None,405,60,50,40,85,75,95,4,42,ordinary
312,minun,generation-iii,nothing,minus volt-absorb ,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,electric,None,405,60,40,50,75,85,95,4,42,ordinary
313,volbeat,generation-iii,nothing,illuminate swarm prankster ,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE.",bug,None,430,65,73,75,47,85,85,7,177,ordinary
314,illumise,generation-iii,nothing,oblivious tinted-lens prankster ,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky.",bug,None,430,65,47,75,73,85,85,6,177,ordinary
315,roselia,generation-iii,budew,natural-cure poison-point leaf-guard ,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.,grass,poison,400,50,60,45,100,80,65,3,20,ordinary
316,gulpin,generation-iii,nothing,liquid-ooze sticky-hold gluttony ,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything.",poison,None,302,70,43,53,43,53,40,4,103,ordinary
317,swalot,generation-iii,gulpin,liquid-ooze sticky-hold gluttony ,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth.",poison,None,467,100,73,83,73,83,55,17,800,ordinary
318,carvanha,generation-iii,nothing,rough-skin speed-boost ,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.,water,dark,305,45,90,20,65,20,65,8,208,ordinary
319,sharpedo,generation-iii,carvanha,rough-skin speed-boost ,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker.",water,dark,460,70,120,40,95,40,95,18,888,ordinary
320,wailmer,generation-iii,nothing,water-veil oblivious pressure ,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.,water,None,400,130,70,35,70,35,60,20,1300,ordinary
321,wailord,generation-iii,wailmer,water-veil oblivious pressure ,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth.",water,None,500,170,90,45,90,45,60,145,3980,ordinary
322,numel,generation-iii,nothing,oblivious simple own-tempo ,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma.",fire,ground,305,60,60,40,65,45,35,7,240,ordinary
323,camerupt,generation-iii,numel,magma-armor solid-rock anger-point ,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma.",fire,ground,460,70,100,70,105,75,40,19,2200,ordinary
324,torkoal,generation-iii,nothing,white-smoke drought shell-armor ,You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.,fire,None,470,70,85,140,85,70,20,5,804,ordinary
325,spoink,generation-iii,nothing,thick-fat own-tempo gluttony ,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop.",psychic,None,330,60,25,35,70,80,60,7,306,ordinary
326,grumpig,generation-iii,spoink,thick-fat own-tempo gluttony ,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored.",psychic,None,470,80,45,65,90,110,80,9,715,ordinary
327,spinda,generation-iii,nothing,own-tempo tangled-feet contrary ,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.,normal,None,360,60,60,60,60,60,60,11,50,ordinary
328,trapinch,generation-iii,nothing,hyper-cutter arena-trap sheer-force ,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders.",ground,None,290,45,100,45,45,45,10,7,150,ordinary
329,vibrava,generation-iii,trapinch,levitate ,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people.",ground,dragon,340,50,70,50,50,50,70,11,153,ordinary
330,flygon,generation-iii,vibrava,levitate ,"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying.",ground,dragon,520,80,100,80,80,80,100,20,820,ordinary
331,cacnea,generation-iii,nothing,sand-veil water-absorb ,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down.",grass,None,335,50,85,40,85,40,35,4,513,ordinary
332,cacturne,generation-iii,cacnea,sand-veil water-absorb ,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops.",grass,dark,475,70,115,60,115,60,55,13,774,ordinary
333,swablu,generation-iii,nothing,natural-cure cloud-nine ,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.,normal,flying,310,45,40,60,40,75,50,4,12,ordinary
334,altaria,generation-iii,swablu,natural-cure cloud-nine ,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment.",dragon,flying,490,75,70,90,70,105,80,11,206,ordinary
335,zangoose,generation-iii,nothing,immunity toxic-boost ,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.,normal,None,458,73,115,60,60,60,90,13,403,ordinary
336,seviper,generation-iii,nothing,shed-skin infiltrator ,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.,poison,None,458,73,100,60,100,60,65,27,525,ordinary
337,lunatone,generation-iii,nothing,levitate ,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far.",rock,psychic,460,90,55,65,95,85,70,10,1680,ordinary
338,solrock,generation-iii,nothing,levitate ,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines.",rock,psychic,460,90,95,85,55,65,70,12,1540,ordinary
339,barboach,generation-iii,nothing,oblivious anticipation hydration ,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along.",water,ground,288,50,48,43,46,41,60,4,19,ordinary
340,whiscash,generation-iii,barboach,oblivious anticipation hydration ,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake.",water,ground,468,110,78,73,76,71,60,9,236,ordinary
341,corphish,generation-iii,nothing,hyper-cutter shell-armor adaptability ,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.,water,None,308,43,80,65,50,35,35,6,115,ordinary
342,crawdaunt,generation-iii,corphish,hyper-cutter shell-armor adaptability ,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places.",water,dark,468,63,120,85,90,55,55,11,328,ordinary
343,baltoy,generation-iii,nothing,levitate ,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.,ground,psychic,300,40,40,55,40,70,55,5,215,ordinary
344,claydol,generation-iii,baltoy,levitate ,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.,ground,psychic,500,60,70,105,70,120,75,15,1080,ordinary
345,lileep,generation-iii,nothing,suction-cups storm-drain ,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.,rock,grass,355,66,41,77,61,87,23,10,238,ordinary
346,cradily,generation-iii,lileep,suction-cups storm-drain ,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.,rock,grass,495,86,81,97,81,107,43,15,604,ordinary
347,anorith,generation-iii,nothing,battle-armor swift-swim ,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.,rock,bug,355,45,95,50,40,50,75,7,125,ordinary
348,armaldo,generation-iii,anorith,battle-armor swift-swim ,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.,rock,bug,495,75,125,100,70,80,45,15,682,ordinary
349,feebas,generation-iii,nothing,swift-swim oblivious adaptability ,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers.",water,None,200,20,15,20,10,55,80,6,74,ordinary
350,milotic,generation-iii,feebas,marvel-scale competitive cute-charm ,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.,water,None,540,95,60,79,100,125,81,62,1620,ordinary
351,castform,generation-iii,nothing,forecast ,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.,normal,None,420,70,70,70,70,70,70,3,8,ordinary
352,kecleon,generation-iii,nothing,color-change protean ,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.,normal,None,440,60,90,70,60,120,40,10,220,ordinary
353,shuppet,generation-iii,nothing,insomnia frisk cursed-body ,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home.",ghost,None,295,44,75,35,63,33,45,6,23,ordinary
354,banette,generation-iii,shuppet,insomnia frisk cursed-body ,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.,ghost,None,455,64,115,65,83,63,65,11,125,ordinary
355,duskull,generation-iii,nothing,levitate frisk ,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn.",ghost,None,295,20,40,90,30,90,25,8,150,ordinary
356,dusclops,generation-iii,duskull,pressure frisk ,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out.",ghost,None,455,40,70,130,60,130,25,16,306,ordinary
357,tropius,generation-iii,nothing,chlorophyll solar-power harvest ,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit.",grass,flying,460,99,68,83,72,87,51,20,1000,ordinary
358,chimecho,generation-iii,chingling,levitate ,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",psychic,None,455,75,50,80,95,90,65,6,10,ordinary
359,absol,generation-iii,nothing,pressure super-luck justified ,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON.",dark,None,465,65,130,60,75,60,75,12,470,ordinary
360,wynaut,generation-iii,nothing,shadow-tag telepathy ,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail.",psychic,None,260,95,23,48,23,48,23,6,140,ordinary
361,snorunt,generation-iii,nothing,inner-focus ice-body moody ,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns.",ice,None,300,50,50,50,50,50,50,7,168,ordinary
362,glalie,generation-iii,snorunt,inner-focus ice-body moody ,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires.",ice,None,480,80,80,80,80,80,80,15,2565,ordinary
363,spheal,generation-iii,nothing,thick-fat ice-body oblivious ,"SPHEAL is much faster rolling than walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy.",ice,water,290,70,40,50,55,50,25,8,395,ordinary
364,sealeo,generation-iii,spheal,thick-fat ice-body oblivious ,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.,ice,water,410,90,60,70,75,70,45,11,876,ordinary
365,walrein,generation-iii,sealeo,thick-fat ice-body oblivious ,It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.,ice,water,530,110,80,90,95,90,65,14,1506,ordinary
366,clamperl,generation-iii,nothing,shell-armor rattled ,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.,water,None,345,35,64,85,74,55,32,4,525,ordinary
367,huntail,generation-iii,clamperl,swift-swim water-veil ,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.,water,None,485,55,104,105,94,75,52,17,270,ordinary
368,gorebyss,generation-iii,clamperl,swift-swim hydration ,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks.",water,None,485,55,84,105,114,75,52,18,226,ordinary
369,relicanth,generation-iii,nothing,swift-swim rock-head sturdy ,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.,water,rock,485,100,90,130,45,65,55,10,234,ordinary
370,luvdisc,generation-iii,nothing,swift-swim hydration ,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.,water,None,330,43,30,55,40,65,97,6,87,ordinary
371,bagon,generation-iii,nothing,rock-head sheer-force ,"Dreaming of one day flying, it practices by leaping off cliffs every day.",dragon,None,300,45,75,60,40,30,50,6,421,ordinary
372,shelgon,generation-iii,bagon,rock-head overcoat ,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish.",dragon,None,420,65,95,100,60,50,50,11,1105,ordinary
373,salamence,generation-iii,shelgon,intimidate moxie ,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings.",dragon,flying,600,95,135,80,110,80,100,15,1026,ordinary
374,beldum,generation-iii,nothing,clear-body light-metal ,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism.",steel,psychic,300,40,55,80,35,60,30,6,952,ordinary
375,metang,generation-iii,beldum,clear-body light-metal ,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power.",steel,psychic,420,60,75,100,55,80,50,12,2025,ordinary
376,metagross,generation-iii,metang,clear-body light-metal ,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs.",steel,psychic,600,80,135,130,95,90,70,16,5500,ordinary
377,regirock,generation-iii,nothing,clear-body sturdy ,"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself.",rock,None,580,80,100,200,50,100,50,17,2300,legendary
378,regice,generation-iii,nothing,clear-body ice-body ,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F.",ice,None,580,80,50,100,100,200,50,18,1750,legendary
379,registeel,generation-iii,nothing,clear-body light-metal ,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.,steel,None,580,80,75,150,75,150,50,19,2050,legendary
380,latias,generation-iii,nothing,levitate ,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe.",dragon,psychic,600,80,80,90,110,130,110,14,400,legendary
